id,mean_snake,mean_background
7793644,22.413,45.01775
7906711,46.953,63.66175
7940998,13.704,23.74775
8025694,12.8245,21.387
8048077,31.5685,46.82525
8049291,40.3395,36.89175
8170721,27.582,49.7935
8303762,12.7865,41.001
8327886,17.972,48.2725
8336688,26.476,25.84375
8419340,39.0465,57.4885
8432204,58.0845,40.376
8597707,28.258,42.18
8666575,50.1975,47.5105
8743808,79.6855,50.37775
8749454,29.8425,34.10625
8999819,17.759,50.04525
9089591,68.738,39.2115
9266172,72.2585,39.50325
9287939,58.679,82.45425
9997957,31.974,60.09475
10072379,26.1175,54.31675
10254052,57.6325,19.21725
10320218,29.843,40.9605
10669712,51.1975,76.18575
10969068,51.973,39.8575
11003064,46.2025,48.23025
11041253,8.0915,39.748
11179557,36.886,51.62925
11345410,27.3195,54.96125
11399758,23.257,46.5775
11437195,19.7355,61.45425
11527141,16.1065,58.02175
11609439,15.273,25.635
11616970,33.5485,47.5095
11644422,21.8365,34.3555
11774743,31.761,37.68125
11789811,23.3,52.7025
12055860,69.8755,36.28475
12127695,37.6315,45.58275
12229634,28.563,44.61725
12264495,73.322,52.38475
12292540,21.7915,44.83575
12292746,67.5205,48.011
12297732,22.3035,50.31975
12302811,39.185,48.21225
12314538,18.9605,57.292
12324967,22.776,22.9645
12416681,16.2025,40.2255
12520315,33.439,60.1965
12565402,24.5255,62.25175
12606675,58.329,42.972
12640718,17.1205,54.22275
12661888,29.1145,45.08625
12767407,27.165,33.974
12783452,50.558,51.979
12970028,29.031,51.23725
13040294,61.672,41.64275
13131669,45.4145,30.317
13243637,43.52,43.342
13302426,36.6285,48.18125
13383640,30.4235,32.43575
13487363,46.9545,48.90575
13492560,31.0845,60.01025
13581463,42.026,51.31525
13633136,21.582,49.96225
13650584,30.806,78.0315
13651166,54.781,31.3735
13669148,57.686,47.40075
13883278,20.3525,68.0625
13988805,63.481,45.83475
13997039,50.8155,54.89875
14012052,33.4745,46.371
14014381,48.0145,51.6765
14044576,38.612,47.9825
14244968,26.865,51.0405
14303803,35.764,67.4925
14318100,5.606,37.40775
14424507,25.075,46.08075
14838599,28.2565,44.471
14911016,32.089,53.7595
15216671,36.192,47.66775
15464429,32.301,47.56375
15792248,34.7435,49.64075
15861215,58.691,34.768
16291004,15.7515,50.1555
16593034,22.5345,37.0415
16617427,39.903,52.60775
16646738,17.8195,51.72075
16676723,39.616,54.07275
16701570,58.1505,31.184
16732060,42.228,76.99
17133849,28.9875,38.588
17363127,24.659,48.079
17414375,30.7365,54.688
17449551,6.1055,59.04475
18032746,30.089,63.30725
18133320,63.6125,49.85825
18282192,51.4015,47.245
18382844,45.072,54.889
18399695,67.3785,36.0875
18562060,53.734,55.9505
18655020,61.898,61.062
18697016,25.8505,66.49275
18779951,38.4105,63.7845
19227799,40.444,36.98075
19281681,48.0995,62.86175
19346752,20.877,33.46275
20111193,56.112,54.736
20190004,47.677,53.9695
20190124,76.472,37.6565
20214463,19.9835,28.8045
20237694,27.0395,58.799
20386834,44.5405,42.9705
20533226,63.2155,68.09925
20704356,48.6685,23.58325
20832061,34.6985,48.75425
20883029,67.2825,55.66575
21120141,70.4355,67.20075
21273115,50.3735,44.0225
21293896,40.811,57.72575
21372374,58.5785,46.825
21583380,39.1495,70.04975
21591228,56.9235,43.43375
21664728,40.0885,34.7035
21745016,42.874,66.312
21841703,24.491,30.16225
22152078,44.625,59.72875
22195801,31.4905,52.8345
22199696,30.1835,51.84375
22229656,26.8345,58.94925
22286640,13.4415,32.17775
22380680,21.216,58.20575
22426063,22.149,60.9105
22492222,31.7365,62.17125
22499073,31.463,31.6605
22574241,26.5165,57.2125
22655850,29.335,40.3145
22676918,25.6315,47.037
22711759,57.921,34.30125
22717808,42.8655,69.85075
22727927,52.842,45.018
22942956,19.149,33.8355
23015798,29.4545,67.95925
23213024,62.7625,60.545
23220137,45.3475,64.46525
23727759,17.7445,53.0205
23912069,27.981,39.2075
24091362,31.3245,56.976
24373427,25.702,52.63925
24530935,29.0425,52.388
24619986,47.252,50.60775
24643456,41.2915,69.0335
24669190,15.5955,61.181
24698495,37.311,74.0045
24802935,25.4625,39.743
24866987,20.1975,44.6285
24940083,22.5895,49.21325
24941363,51.702,42.66875
25012800,12.881,40.406
25087420,39.325,37.46525
25274769,27.4755,51.30425
25321512,25.765,54.44375
25351048,29.549,75.93525
25396822,53.353,48.1575
25443242,13.8995,42.52775
25513004,35.84,26.20725
25656893,15.3985,60.228
25775839,17.1285,56.277
25785155,39.745,62.25825
25877489,20.877,39.532
25918865,37.15,60.0745
25963072,19.7515,45.76975
25978819,21.021,44.92225
26130132,31.4815,52.914
26148166,22.0715,43.80275
26206734,33.397,38.1375
26261424,6.828,37.99425
26261937,27.329,70.77875
26274432,9.7805,41.27775
26275607,4.791,57.8965
26298522,25.853,47.36125
26380714,24.708,42.7715
26449424,37.24,47.71375
26768341,22.161,51.1235
26776890,9.397,48.98375
26784034,44.3955,39.5755
26802278,41.4775,24.6415
26827809,10.21,47.70375
26873479,41.7775,46.4965
26874395,22.398,55.32075
26927942,33.54,58.5815
26960007,19.27,39.35775
26975678,30.862,61.82125
26997287,41.1445,45.8945
27170332,31.8705,47.51275
27295123,44.319,38.7605
27300022,20.246,48.599
27396570,37.407,85.583
27435505,26.276,64.485
27511250,11.607,30.76075
27577390,46.3635,61.76275
27614053,24.6425,43.79825
27621439,20.898,48.461
27633910,34.1745,53.0255
27777048,20.1625,70.6955
27842718,24.8405,56.53175
27849306,14.062,41.50725
27887883,12.73,56.112
27895994,27.056,57.89475
27900853,27.4345,53.67775
27931343,32.0435,39.29925
28137163,18.176,56.996
28203194,33.9425,52.65675
28233849,22.147,38.4185
28248261,30.712,32.22125
28468666,16.715,65.197
28533761,41.19,48.9255
28652339,12.342,64.47275
28975408,37.1225,64.40675
28977447,19.6555,49.3625
29012289,29.226,64.04275
29052479,15.8735,47.68275
29083029,17.5545,48.0845
29330895,21.705,75.9225
29867886,26.6065,54.42675
29880531,37.5665,79.04375
29999687,24.675,49.2135
30257572,18.1855,50.137
30366809,17.3125,62.94325
30476012,51.1745,46.3295
30517844,9.11,57.76425
30554495,18.2845,39.80625
30680777,24.99,58.309
30941611,45.6315,75.3285
31226543,16.619,56.1715
31309094,54.8835,61.6425
31620234,30.59,48.45025
