"longitude","latitude","id","Color.majority","Color.plurality","Color.all","Pattern.majority","Pattern.plurality","Pattern.all","time.n","time.mean","time.min","time.max","time.all","scientific_name","place_guess","common_name","species_guess","iconic_taxon_name","taxon_id","num_identification_agreements","num_identification_disagreements","observed_on_string","observed_on","s.color","date","year","month","day","elevation","temp","precip"
-80.49117208,35.46276723,10007959,1,1,"""1""(2)","4","4","""4""(2)",2,12.20788949,7.004936294,17.41084268,"7.00493629399989,17.410842681","Pantherophis_alleghaniensis","Cabarrus County, NC, USA","Eastern Ratsnake","Eastern Rat Snake","Reptilia",59644,1,0,"2015/04/20 12:59 PM EDT","4/20/15","black","2015-04-20",2015,4,20,224,14.966667175293,1163
-84.44288667,33.880925,10011411,1,1,"""1""(2)","4","4","""4""(2)",2,9.112421203,2.763648196,15.46119421,"2.7636481960000765,15.461194208999999","Pantherophis_alleghaniensis","Chattahoochee River, Sandy Springs, GA, US","Eastern Ratsnake","Eastern Rat Snake","Reptilia",59644,1,0,"Mon Jun 19 2017 15:16:44 GMT-0400 (EDT)","6/19/17","black","2017-06-19",2017,6,19,260,16.5041656494141,1290
-74.00645779,42.15841718,10046062,1,1,"""1""(2),""2""(1)","4","4","""1""(1),""4""(2)",3,7.31800105,3.703532215,10.29258955,"10.292589550000137,7.957881386000054,3.7035322149999956","Pantherophis_alleghaniensis","117 Route 32A, Saugerties, NY, US","Eastern Ratsnake","Eastern Rat Snake","Reptilia",59644,2,0,"Thu Mar 01 2018 14:12:35 GMT-0600 (CST)","3/1/18","black","2018-03-01",2018,3,1,132,8.89583301544189,1054
-78.71768139,35.81007445,10072379,1,1,"""1""(2),""U""(1)","4","4","""4""(2),""U""(1)",3,449.1659226,2.044944212,1327.168255,"18.284568841999686,2.0449442120000185,1327.1682546930022","Pantherophis_alleghaniensis","Raleigh, NC  27607, Raleigh, NC, US","Eastern Ratsnake","Eastern Rat Snake","Reptilia",59644,2,0,"Sat Mar 03 2018 15:34:11 GMT-0500 (EST)","3/3/18","black","2018-03-03",2018,3,3,123,15.4416666030884,1142
-76.38864668,39.87292727,100826,1,1,"""1""(2)","4","4","""4""(2)",2,4.141417601,2.288793954,5.994041248,"2.2887939539999707,5.994041248000002","Pantherophis_alleghaniensis","Furnace Run, PA","Eastern Ratsnake","Black Rat Snake","Reptilia",59644,2,0,"7/8/12","7/8/12","black","2012-07-08",2012,7,8,149,11.4375,1046
-82.2857996,29.5304061,10111800,5,5,"""5""(2)","2","2","""2""(2)",2,2.123014408,2.059910868,2.186117949,"2.059910867999861,2.186117949000007","Pantherophis_alleghaniensis","Alachua County, FL, USA","Eastern Ratsnake","Eastern Rat Snake","Reptilia",59644,5,0,"2018/02/27 11:44 AM EST","2/27/18","yellow","2018-02-27",2018,2,27,27,20.4750003814697,1322
-74.09454346,42.10433598,10124745,1,1,"""1""(2)","4","4","""4""(2)",2,139.4100483,2.154435775,276.6656607,"2.154435775000138,276.6656607390005","Pantherophis_alleghaniensis","Greene County, NY, USA","Eastern Ratsnake","Eastern Rat Snake","Reptilia",59644,1,0,"2017/07/11 9:45 AM EDT","7/11/17","black","2017-07-11",2017,7,11,775,5.94999980926514,1311
-81.09649027,34.04462392,10137467,1,1,"""1""(2)","4","4","""4""(2)",2,6.059464478,3.721268158,8.397660798,"3.72126815799993,8.397660798000004","Pantherophis_alleghaniensis","Richland County, US-SC, US","Eastern Ratsnake","Eastern Rat Snake","Reptilia",59644,5,0,"Fri Feb 16 2018 18:11:23 GMT-0500 (EST)","2/16/18","black","2018-02-16",2018,2,16,93,17.4583339691162,1169
-80.34688597,27.35236981,10146483,6,6,"""6""(2)","2","2","""2""(2)",2,5.841357901,1.671599474,10.01111633,"1.6715994740000042,10.011116327999986","Pantherophis_alleghaniensis","Oxbow Eco-Center, Port St Lucie, FL, USA","Eastern Ratsnake","Eastern Rat Snake","Reptilia",59644,4,0,"2018/03/04 10:23 AM EST","3/4/18","orange","2018-03-04",2018,3,4,9,23.1749992370605,1360
-74.95822817,38.93307181,10188777,1,1,"""1""(2),""U""(1)","4","4","""4""(2),""U""(1)",3,3.001509703,1.777192324,4.135722036,"1.7771923239999978,4.135722036000061,3.091614749999991","Pantherophis_alleghaniensis","Cape May County, NJ, USA","Eastern Ratsnake","Eastern Rat Snake","Reptilia",59644,2,0,"2017/09/26 8:05 AM HST","9/26/17","black","2017-09-26",2017,9,26,NA,NA,NA
